student_id,attendance,internal1,internal2,assignments,study_hours,previous_marks,final_score
S2124,99.5,87.55,81.09,86.47,4.07,63.3,69.31
S2125,57.8,45.99,78.19,70.34,6.82,83.2,64.68
S2126,79.54,81.09,43.67,96.67,1.18,17.06,62.71
S2127,63.69,86.97,42.45,92.83,3.13,54.83,66.52
S2128,74.04,45.31,49.38,98.7,1.27,35.38,62.83
S2129,79.93,33.81,79.57,99.22,1.67,44.67,61.99
S2130,79.82,65.44,33.63,72.87,4.35,100.0,70.34
S2131,81.33,50.15,69.11,46.82,0.21,75.17,53.49
S2132,99.21,93.63,68.53,48.95,1.81,81.18,67.93
S2133,81.8,60.63,82.93,28.26,0.58,63.63,62.63
S2134,71.34,45.56,65.25,48.33,1.0,77.9,53.32
S2135,89.46,39.35,37.82,71.38,2.48,34.97,54.81
S2136,92.84,79.62,44.73,58.81,0.07,82.65,77.16
S2137,56.59,49.72,40.72,66.4,2.16,51.06,50.74
S2138,83.96,60.79,52.32,79.85,0.8,55.97,62.86
S2139,85.52,77.2,58.71,63.92,2.66,73.59,61.62
S2140,70.54,51.28,41.02,47.56,0.37,70.38,40.25
S2141,95.64,59.17,88.47,68.94,3.19,66.44,71.58
S2142,72.75,59.7,38.14,52.03,2.49,41.83,57.39
S2143,76.88,72.3,86.23,64.58,8.52,66.7,69.61
S2144,72.4,70.63,83.33,96.86,5.81,81.33,76.87
S2145,75.23,56.04,78.17,64.59,0.8,55.95,69.89
S2146,58.56,61.15,49.51,100.0,0.07,87.35,68.95
S2147,53.4,53.31,68.16,98.63,2.56,50.16,61.31
S2148,98.92,33.4,39.01,58.41,2.22,65.11,56.61
S2149,62.3,64.64,78.4,47.78,0.07,91.1,51.38
S2150,60.13,94.06,60.67,68.95,0.31,53.42,58.04
S2151,42.7,44.09,54.63,93.07,2.11,82.92,52.04
S2152,65.42,46.09,39.97,60.2,5.83,98.57,50.25
S2153,55.15,44.33,17.4,88.16,5.69,67.91,50.48
S2154,99.63,73.04,43.31,94.17,0.39,56.04,79.57
S2155,90.15,68.07,82.03,54.52,1.17,51.86,75.61
S2156,64.68,57.15,54.75,56.48,0.11,87.18,57.25
S2157,100.0,43.48,58.95,84.25,1.52,86.7,72.23
S2158,89.73,61.66,73.8,73.04,3.36,89.64,66.75
S2159,70.13,31.84,94.5,56.28,3.75,64.44,68.34
S2160,37.51,62.58,85.85,62.96,1.66,82.64,48.23
S2161,100.0,75.69,44.5,68.59,0.24,64.17,71.34
S2162,54.16,37.48,27.03,38.7,1.15,49.99,40.8
S2163,50.32,32.41,100.0,85.31,6.46,84.11,58.96
S2164,90.34,88.43,100.0,60.43,0.63,92.78,77.67
S2165,100.0,48.99,65.39,14.33,0.92,47.65,48.45
S2166,95.76,80.45,39.13,69.52,3.3,47.33,58.12
S2167,83.46,57.23,79.34,55.17,3.17,65.68,55.06
S2168,83.92,57.08,60.06,100.0,5.84,81.25,75.06
S2169,87.8,67.89,59.97,58.29,1.18,45.73,68.66
S2170,86.38,44.09,78.1,48.05,1.73,68.86,48.02
S2171,79.22,62.38,68.02,80.16,1.51,54.96,75.19
S2172,76.56,53.13,40.66,56.79,6.31,76.91,57.19
S2173,74.06,36.23,56.15,54.41,3.52,51.44,53.8
S2174,63.69,66.07,73.9,80.19,4.27,78.12,57.06
S2175,70.79,55.26,71.18,49.19,0.34,62.31,64.69
S2176,49.61,57.17,66.72,40.85,3.77,49.07,51.3
S2177,73.52,38.22,78.8,100.0,1.36,66.08,70.91
S2178,60.17,88.65,55.49,81.59,0.06,32.05,66.67
S2179,58.45,75.78,65.22,64.72,0.15,55.5,66.15
S2180,77.7,77.35,1.24,69.93,2.72,70.74,50.18
S2181,95.88,54.5,53.91,80.12,1.12,34.88,60.47
S2182,88.77,28.87,75.75,89.47,4.86,21.29,57.43
S2183,51.44,95.15,54.97,54.88,3.18,25.23,60.6
S2184,60.16,58.9,53.61,77.32,0.05,87.56,59.92
S2185,89.11,46.52,43.25,59.87,2.79,63.7,63.39
S2186,60.26,67.5,80.06,66.22,0.51,55.95,67.04
S2187,71.63,81.01,71.87,73.21,1.32,81.07,57.87
S2188,83.25,59.59,76.86,69.87,2.35,58.12,73.67
S2189,60.47,83.01,30.93,84.71,4.95,69.56,65.75
S2190,76.58,79.49,59.11,79.74,1.46,65.44,63.89
S2191,54.99,40.63,56.96,39.84,3.97,56.99,49.02
S2192,65.98,47.87,56.95,42.84,3.67,70.0,51.98
S2193,79.8,77.24,50.91,62.61,1.28,78.15,67.12
S2194,51.11,11.17,55.77,100.0,1.67,61.86,45.96
S2195,81.61,57.31,77.29,52.97,2.89,57.17,65.31
S2196,74.71,34.25,27.57,65.84,0.08,59.18,47.27
S2197,83.29,51.42,93.99,59.27,5.32,25.94,61.45
S2198,78.36,54.62,70.71,58.92,3.53,69.81,63.38
S2199,95.46,53.55,61.24,73.56,0.69,44.45,78.89
S2200,76.88,50.06,78.32,98.02,9.53,75.71,67.82
S2201,68.56,40.25,35.87,79.12,0.47,63.46,49.32
S2202,76.83,100.0,50.04,53.93,5.89,66.79,62.92
S2203,83.15,93.61,59.82,100.0,0.94,76.91,71.26
S2204,75.73,39.08,86.58,71.57,3.46,49.25,66.35
S2205,75.61,88.48,61.16,58.46,1.46,71.28,69.75
S2206,64.47,52.81,70.1,98.24,3.2,69.55,63.96
S2207,65.06,62.33,51.39,60.62,0.41,61.86,60.65
S2208,53.96,58.86,70.76,100.0,0.75,49.22,64.47
S2209,100.0,48.12,92.19,52.59,0.25,75.12,67.62
S2210,56.34,77.71,79.92,98.6,4.81,76.96,61.3
S2211,64.61,62.27,60.53,74.02,0.84,66.93,63.91
S2212,64.22,51.42,74.16,95.82,2.85,46.8,62.67
S2213,88.42,36.52,72.4,100.0,4.12,56.03,66.68
S2214,70.58,43.92,71.12,47.35,5.56,63.97,54.13
S2215,93.72,30.46,82.02,95.52,0.27,76.7,72.52
S2216,64.9,60.22,81.88,41.82,5.36,38.08,59.5
S2217,79.18,38.46,59.71,49.06,0.53,55.42,51.17
S2218,62.47,55.22,73.55,53.93,3.2,58.15,49.53
S2219,100.0,84.66,55.1,80.07,3.13,63.59,79.3
S2220,57.19,81.59,45.38,70.66,0.02,42.88,58.22
S2221,79.65,59.42,57.15,66.66,0.6,61.3,61.19
S2222,84.51,58.43,60.63,72.92,1.63,59.72,46.72
S2223,81.21,93.84,32.09,81.83,1.31,47.36,62.92
S2224,72.22,69.37,77.49,83.36,6.02,62.99,67.79
S2225,73.05,54.1,12.19,91.88,1.07,55.8,47.71
S2226,75.66,34.33,100.0,100.0,6.63,73.42,75.97
S2227,72.79,67.09,89.03,69.57,1.48,49.95,69.88
S2228,89.46,74.93,57.3,59.58,8.0,66.53,71.02
S2229,100.0,48.63,62.17,82.27,3.21,51.26,72.46
S2230,66.64,65.24,67.45,47.11,4.24,54.8,51.73
S2231,54.45,53.46,51.4,56.43,0.27,70.05,47.46
S2232,73.68,56.69,65.47,89.99,2.12,68.99,64.75
S2233,100.0,15.22,59.41,67.52,0.37,57.91,52.3
S2234,62.94,56.01,60.3,45.84,0.85,60.42,56.7
S2235,99.59,77.45,65.27,40.2,2.34,40.29,61.54
S2236,100.0,48.63,38.36,70.97,3.11,88.85,71.27
S2237,66.7,60.95,62.71,92.84,0.1,76.69,57.46
S2238,83.53,46.39,64.94,92.57,1.82,76.07,78.34
S2239,99.43,66.49,64.32,72.22,2.0,37.88,78.81
S2240,69.31,56.1,58.12,100.0,0.2,54.88,60.19
S2241,71.95,43.09,82.48,67.9,1.67,59.31,66.93
S2242,66.27,83.99,55.63,67.23,3.0,32.17,56.89
S2243,59.78,76.72,66.09,18.65,0.13,80.13,60.46
S2244,65.26,49.11,85.35,61.05,3.43,89.72,62.0
S2245,56.64,68.96,60.57,87.04,2.06,100.0,56.44
S2246,75.51,69.67,65.86,100.0,4.3,47.22,46.66
S2247,63.45,71.56,60.27,53.4,0.59,66.99,55.62
S2248,78.51,29.5,84.27,79.25,4.3,87.49,66.84
S2249,51.66,78.12,57.36,90.94,0.24,60.69,67.82
S2250,79.96,49.75,85.1,70.22,1.24,55.36,63.87
S2251,87.5,53.56,60.14,24.33,0.53,33.28,57.88
S2252,45.09,100.0,46.53,74.95,5.01,84.25,60.03
S2253,80.61,65.43,74.23,85.23,2.93,64.67,66.78
S2254,93.42,53.05,56.52,51.05,0.06,52.6,64.54
S2255,56.86,20.3,73.17,64.92,0.02,69.83,34.85
S2256,100.0,85.02,12.87,46.89,0.83,67.6,58.86
S2257,81.29,35.79,62.09,18.6,0.37,67.86,47.26
S2258,64.42,41.94,53.73,90.54,2.39,61.31,64.31
S2259,74.16,54.04,42.86,69.93,2.62,92.58,55.81
S2260,83.37,85.5,52.04,100.0,6.83,62.73,76.14
S2261,76.14,73.92,51.67,87.15,7.29,92.53,75.65
S2262,83.08,57.16,61.14,62.92,2.58,74.59,53.66
S2263,61.19,65.55,37.39,68.34,0.01,70.97,52.4
S2264,77.54,49.19,67.69,81.32,1.07,63.07,59.21
S2265,53.79,62.51,86.59,89.34,1.73,81.56,71.37
S2266,73.33,61.32,67.06,76.45,1.66,66.92,67.05
S2267,61.44,77.44,76.56,92.11,2.22,49.15,64.6
S2268,63.97,77.41,81.7,64.07,7.76,48.59,59.88
S2269,93.54,68.89,84.26,50.06,5.19,72.18,77.57
S2270,91.37,53.48,95.66,68.7,0.28,49.57,67.67
S2271,84.14,73.35,53.01,74.1,0.74,63.94,54.48
S2272,58.62,58.34,49.07,45.97,4.3,82.97,44.28
S2273,70.25,40.53,76.1,43.27,4.17,70.17,59.11
S2274,93.2,52.74,74.75,78.95,0.77,52.72,58.64
S2275,77.13,61.52,75.96,61.87,3.15,88.97,77.69
S2276,100.0,76.38,96.01,66.68,2.68,74.31,72.63
S2277,80.9,56.7,62.2,62.81,1.54,82.3,62.42
S2278,77.88,38.23,69.67,100.0,0.54,26.45,59.92
S2279,70.36,61.02,44.35,95.24,5.27,70.62,58.27
S2280,77.0,62.04,100.0,45.25,2.72,79.32,54.3
S2281,72.71,63.35,55.94,59.34,0.44,93.9,61.7
S2282,85.62,76.56,56.45,87.0,2.93,40.12,62.01
S2283,89.35,78.34,55.76,82.04,3.25,85.5,72.34
S2284,63.21,49.3,50.39,69.17,5.23,92.95,57.29
S2285,55.03,48.91,48.87,47.25,0.61,30.71,45.35
S2286,47.46,41.28,52.57,56.35,10.77,73.14,61.16
S2287,82.62,72.58,37.42,59.66,0.4,75.5,56.08
S2288,58.45,86.08,47.86,75.54,2.2,59.44,56.96
S2289,42.71,54.33,97.08,100.0,2.57,56.67,52.92
S2290,80.83,55.65,75.24,56.26,1.3,76.35,61.94
S2291,100.0,86.4,78.67,49.48,1.55,54.55,74.12
S2292,74.91,69.1,83.19,67.83,5.32,61.31,65.25
S2293,87.58,67.85,95.01,90.63,2.49,78.81,79.69
S2294,76.23,38.56,30.11,41.06,1.65,94.82,48.19
S2295,73.52,72.22,39.86,99.07,0.33,74.15,55.42
S2296,88.79,43.28,47.53,66.56,0.02,67.27,58.95
S2297,70.65,39.59,53.54,55.31,0.32,56.22,49.13
S2298,79.01,53.76,56.59,38.0,7.51,47.82,56.79
S2299,79.83,49.46,53.95,84.13,3.47,83.86,59.98
S2300,64.98,56.01,65.95,66.58,8.2,62.39,57.03
S2301,89.88,34.06,62.64,73.41,0.09,84.56,62.27
S2302,72.38,77.26,48.99,51.98,2.74,59.4,57.07
S2303,63.66,80.3,22.84,63.62,0.11,53.96,61.88
S2304,83.05,24.95,44.13,60.27,3.66,72.15,57.45
S2305,61.52,77.61,52.11,67.99,1.15,63.7,61.74
S2306,75.42,45.41,57.55,56.61,0.24,44.51,51.45
S2307,74.86,75.43,41.67,39.32,2.01,95.9,46.47
S2308,91.29,58.77,53.17,100.0,0.79,54.34,61.19
S2309,82.12,60.52,41.64,42.73,2.59,80.77,52.86
S2310,74.62,56.67,59.74,73.63,2.58,79.31,60.55
S2311,87.27,81.82,42.68,34.56,2.93,43.59,57.52
S2312,95.85,37.69,46.72,30.06,11.73,47.96,59.95
S2313,83.37,70.94,38.44,71.96,1.17,59.87,61.73
S2314,75.16,79.82,59.24,73.49,1.5,50.28,70.36
S2315,55.32,72.89,46.4,95.23,3.92,94.35,61.5
S2316,59.02,100.0,78.32,77.99,2.07,61.6,70.86
S2317,70.42,50.48,69.31,67.0,0.09,80.13,61.73
S2318,65.86,77.23,60.74,51.01,4.44,73.73,62.78
S2319,72.2,58.09,47.65,99.98,0.13,69.49,68.9
S2320,75.85,82.2,68.85,88.58,0.45,65.69,74.08
S2321,82.95,59.86,74.43,45.07,0.26,86.03,55.17
S2322,73.94,53.02,64.57,70.76,0.19,50.97,57.13
S2323,82.3,83.51,90.87,72.88,0.06,94.35,75.76
S2324,75.97,51.15,70.27,63.09,0.14,43.12,70.03
S2325,45.37,34.57,78.44,85.44,1.4,78.29,53.31
S2326,60.91,50.7,64.4,86.63,0.7,41.11,49.81
S2327,72.84,71.14,74.16,66.19,0.32,59.63,65.95
S2328,56.85,85.06,47.66,64.38,2.58,66.59,61.34
S2329,84.0,62.0,53.75,99.98,0.62,56.73,64.68
S2330,97.96,83.73,68.29,88.66,0.05,61.91,73.08
S2331,93.28,35.55,68.16,71.45,1.3,41.42,65.27
S2332,71.8,52.02,71.14,37.42,0.89,48.21,48.34
S2333,97.36,54.81,81.81,76.88,0.92,73.47,68.96
S2334,77.23,57.94,36.35,83.96,1.41,65.5,54.88
S2335,69.94,61.51,44.46,14.91,2.65,53.26,54.13
S2336,65.8,72.44,66.13,75.04,2.3,87.51,67.03
S2337,70.46,51.99,48.96,61.67,6.65,44.26,48.42
S2338,69.18,62.5,100.0,65.58,1.75,58.85,60.61
S2339,77.56,59.19,71.28,51.85,1.54,56.4,70.91
S2340,77.41,43.33,60.59,67.04,0.58,75.46,64.53
S2341,75.05,57.95,52.72,97.84,3.38,65.82,68.89
S2342,81.55,57.41,53.36,61.07,0.36,63.16,58.28
S2343,92.86,57.03,62.54,89.31,1.62,33.65,73.75
S2344,89.24,60.57,64.02,53.87,1.31,79.71,57.32
S2345,52.73,61.36,53.78,85.18,2.58,61.3,60.92
S2346,36.69,52.22,57.08,70.03,5.99,66.97,48.57
S2347,89.01,82.91,86.2,77.04,7.03,52.27,74.88
S2348,54.5,38.95,86.92,70.14,0.44,49.6,58.85
S2349,71.63,47.02,66.54,82.83,0.73,90.49,61.6
S2350,57.45,100.0,37.86,18.65,4.01,34.85,47.61
S2351,47.97,41.32,71.69,41.6,1.75,47.08,43.45
S2352,83.12,35.63,89.98,78.34,1.45,90.17,55.48
S2353,86.39,73.22,86.66,29.13,2.98,75.89,71.6
S2354,66.35,22.61,75.22,59.39,2.21,59.47,46.07
S2355,36.13,55.77,87.6,68.91,8.47,86.19,72.05
S2356,66.81,98.62,62.96,53.44,2.1,72.6,63.62
S2357,80.88,32.19,73.31,56.17,1.51,68.96,65.25
S2358,52.82,24.32,49.75,75.43,1.88,68.83,36.3
S2359,77.75,33.01,67.26,90.19,3.97,72.91,66.68
S2360,74.77,76.17,85.93,50.83,2.28,73.6,73.17
S2361,83.69,80.25,51.39,58.5,2.5,100.0,75.1
S2362,76.79,50.77,46.49,55.37,8.53,61.69,48.23
S2363,60.4,72.3,63.75,21.57,2.31,62.21,48.71
S2364,92.95,85.02,57.92,72.83,1.15,43.97,71.18
S2365,72.62,92.17,73.68,88.69,2.82,64.12,73.34
S2366,74.59,55.57,53.84,90.33,2.59,96.67,66.8
S2367,61.0,18.57,92.93,52.58,0.03,81.74,51.47
S2368,68.35,45.22,38.79,44.97,1.51,55.76,56.27
S2369,61.73,52.32,84.57,70.43,3.26,65.51,77.21
S2370,72.41,55.34,48.23,86.59,1.66,42.96,57.55
S2371,100.0,56.62,29.67,73.1,3.63,48.52,62.61
S2372,54.42,80.14,66.28,75.79,1.44,67.54,62.07
S2373,50.8,82.94,57.42,92.84,9.82,56.59,72.97
S2374,97.07,56.91,42.03,55.22,0.83,47.24,62.45
S2375,71.86,79.77,31.74,65.6,0.23,73.33,51.16
S2376,64.96,66.44,61.85,100.0,1.35,63.6,60.26
S2377,90.6,61.16,79.57,66.06,1.87,38.35,59.42
S2378,65.92,76.32,72.53,44.65,1.03,29.72,72.6
S2379,100.0,61.3,63.02,56.61,0.67,55.31,68.03
S2380,85.17,97.04,70.62,51.24,2.68,38.0,64.07
S2381,67.68,34.11,61.51,77.14,1.14,33.23,47.45
S2382,100.0,50.73,36.26,52.08,2.4,84.19,64.66
S2383,65.91,57.72,36.42,75.42,3.62,63.34,60.2
S2384,86.13,67.91,58.34,55.28,3.44,60.49,67.63
S2385,79.49,82.82,59.11,27.53,1.13,61.8,56.58
S2386,94.53,59.56,77.32,76.13,2.01,45.66,69.83
S2387,98.42,34.4,75.63,72.97,1.43,71.99,66.14
S2388,75.48,75.17,72.89,80.36,4.91,62.78,63.65
S2389,63.7,73.59,56.95,56.54,5.06,52.12,52.7
S2390,81.9,25.05,37.15,54.41,1.01,54.67,49.52
S2391,64.83,59.93,69.42,78.03,0.23,44.13,59.49
S2392,100.0,31.38,71.45,100.0,0.44,58.09,69.92
S2393,77.05,48.04,19.01,70.22,1.1,60.93,54.59
S2394,69.52,43.75,46.98,78.49,1.99,57.65,63.06
S2395,77.77,74.57,49.56,63.57,2.57,65.94,57.02
S2396,54.79,62.1,64.13,39.13,0.97,63.67,55.45
S2397,60.43,36.86,47.54,89.35,2.64,68.92,58.1
S2398,93.01,75.84,61.31,88.17,6.66,81.03,73.47
S2399,65.15,34.19,58.21,84.22,2.53,75.08,56.91
S2400,59.3,65.94,59.14,66.36,0.41,81.23,56.4
S2401,83.05,45.35,49.1,81.94,2.08,50.59,70.69
S2402,92.79,53.42,50.5,87.88,1.87,56.35,64.36
S2403,85.78,69.08,42.56,100.0,4.91,76.11,71.55
S2404,89.94,69.39,68.84,89.77,1.03,76.42,70.17
S2405,63.65,84.07,72.28,71.28,1.32,53.46,61.0
S2406,53.67,58.52,48.13,43.83,2.19,75.4,42.15
S2407,97.52,65.52,89.37,73.11,1.78,48.96,78.71
S2408,70.16,52.12,56.34,75.13,3.05,73.18,63.95
S2409,71.24,63.28,89.54,84.18,0.1,64.55,65.7
S2410,94.92,67.91,50.44,97.08,1.99,41.46,61.7
S2411,83.34,58.23,25.52,68.1,0.31,57.62,54.8
S2412,81.84,27.53,69.24,100.0,0.91,100.0,62.28
S2413,100.0,65.97,66.47,34.81,2.6,68.45,63.52
S2414,65.35,66.56,62.62,78.39,0.41,100.0,56.56
S2415,88.92,47.76,50.44,54.03,0.89,40.45,55.76
S2416,75.86,36.88,61.38,31.86,2.91,77.76,54.05
S2417,79.03,86.57,52.8,65.96,2.53,21.92,67.55
S2418,97.93,68.85,56.56,40.86,0.23,65.0,61.4
S2419,82.62,55.88,77.15,66.77,2.07,75.73,63.88
S2420,83.07,39.53,65.32,70.7,0.38,79.24,51.12
S2421,91.09,45.21,72.98,92.37,0.7,51.41,72.36
S2422,69.53,83.45,57.83,39.85,1.48,82.66,65.97
S2423,62.41,62.48,55.84,88.17,0.28,55.93,58.4
S2424,59.33,50.09,41.24,71.96,12.0,62.21,48.14
S2425,45.5,69.17,55.34,90.58,0.43,57.63,48.56
S2426,100.0,45.34,2.22,61.36,3.65,45.68,46.83
S2427,58.45,87.02,51.38,43.36,4.25,91.69,65.88
S2428,71.68,84.35,60.53,45.65,12.0,65.82,68.07
S2429,70.85,51.6,72.15,44.16,1.34,83.48,49.15
S2430,79.61,48.68,57.16,79.56,4.97,82.76,66.19
S2431,87.24,12.87,68.26,99.54,7.58,48.55,56.58
S2432,87.91,33.33,22.76,58.7,0.46,85.67,47.66
S2433,66.25,35.89,60.98,82.58,1.57,73.56,62.29
S2434,72.49,62.43,31.77,39.53,0.15,47.3,52.29
S2435,79.24,54.13,40.25,73.61,2.33,72.63,64.71
S2436,71.27,35.78,58.63,83.37,2.09,47.61,54.87
S2437,99.11,54.94,84.97,41.04,0.55,92.31,73.72
S2438,82.36,69.1,68.68,65.92,3.84,78.83,64.32
S2439,86.02,69.5,62.33,84.32,0.09,63.79,65.4
S2440,84.94,25.81,61.65,11.32,3.94,86.5,49.09
S2441,92.6,57.69,49.15,96.71,0.06,38.11,63.01
S2442,77.72,35.1,52.21,77.07,2.57,52.26,47.24
S2443,55.55,76.23,69.69,84.33,0.2,60.71,60.54
S2444,81.0,74.11,37.06,61.75,0.69,100.0,70.8
S2445,65.23,43.84,72.67,35.55,3.07,46.8,44.6
S2446,67.07,46.21,55.01,80.68,0.79,35.98,45.13
S2447,83.8,51.7,76.86,68.35,1.72,40.45,54.32
S2448,93.57,19.45,79.3,70.64,5.92,80.41,80.71
S2449,75.32,66.05,31.88,91.75,0.12,54.9,60.52
S2450,79.63,55.09,51.53,85.24,4.0,62.3,60.63
S2451,100.0,77.46,46.6,100.0,0.16,77.97,73.1
S2452,78.61,40.23,29.37,73.08,0.33,62.31,52.29
S2453,100.0,48.86,43.41,56.18,0.3,68.47,55.04
S2454,83.48,32.88,100.0,66.23,12.0,74.1,67.69
S2455,48.59,41.92,72.97,78.31,0.48,57.68,51.93
S2456,86.3,38.72,96.51,90.32,5.45,62.17,66.76
S2457,80.72,77.93,76.92,40.66,11.29,69.11,67.42
S2458,94.35,47.43,48.65,70.17,1.16,79.76,64.0
S2459,85.1,62.24,55.13,100.0,2.39,51.53,60.11
S2460,72.92,53.15,72.59,65.2,3.62,13.65,71.99
S2461,56.64,37.15,69.88,88.62,1.2,76.55,61.63
S2462,71.86,56.97,51.61,79.86,0.42,80.77,52.33
S2463,62.24,70.78,34.82,89.12,1.36,68.4,42.7
S2464,66.29,38.26,100.0,53.8,3.55,69.56,56.9
S2465,83.83,74.56,59.46,53.89,3.64,55.41,67.31
S2466,100.0,44.71,56.14,70.41,0.63,73.5,66.34
S2467,80.92,51.31,64.04,39.36,0.46,79.5,56.72
S2468,57.06,69.55,57.63,64.61,6.08,65.96,55.42
S2469,81.67,48.06,64.21,75.06,0.11,100.0,58.76
S2470,92.95,60.68,85.17,100.0,3.18,38.42,70.42
S2471,65.85,54.34,59.76,78.05,0.11,67.77,51.75
S2472,72.99,62.33,41.07,82.5,4.37,45.04,55.6
S2473,75.22,17.15,59.09,93.29,5.66,79.96,66.86
S2474,63.23,27.07,53.64,50.71,0.85,38.11,39.16
S2475,84.72,71.09,87.63,66.7,0.18,42.32,70.92
S2476,73.19,78.67,83.08,100.0,1.57,54.24,76.44
S2477,81.29,43.61,63.94,68.42,0.85,69.52,52.99
S2478,61.69,55.61,38.98,92.33,1.3,54.88,49.26
S2479,68.44,65.3,39.93,89.27,2.62,55.05,64.78
S2480,85.84,72.48,62.27,40.44,0.57,61.92,55.4
S2481,69.41,23.5,68.05,76.21,1.06,60.88,53.37
S2482,100.0,44.05,55.26,72.93,3.66,90.29,78.9
S2483,69.01,54.01,53.36,76.6,2.48,76.66,65.0
S2484,78.37,72.66,51.33,54.92,0.95,59.48,59.56
S2485,88.99,100.0,61.58,47.66,2.62,100.0,78.07
S2486,53.72,55.9,19.11,60.48,3.48,73.36,46.24
S2487,48.59,34.67,42.18,68.04,2.15,48.53,49.76
S2488,52.12,67.24,50.71,93.7,0.66,69.36,45.66
S2489,93.94,83.78,83.74,100.0,0.0,74.1,78.56
S2490,66.72,61.94,47.35,97.93,3.9,53.31,47.99
S2491,100.0,43.68,65.25,87.2,4.15,47.11,67.62
S2492,66.54,77.24,66.08,49.91,2.87,66.47,59.45
S2493,77.77,71.94,85.36,61.82,0.19,58.88,74.32
S2494,98.13,41.53,84.73,74.2,2.11,90.15,75.26
S2495,100.0,66.87,60.96,57.35,4.13,77.6,65.84
S2496,100.0,77.95,53.44,81.54,1.19,54.11,67.08
S2497,93.13,81.27,50.05,84.41,0.53,72.24,71.98
S2498,90.36,58.8,57.66,80.73,2.13,86.54,64.27
S2499,83.89,53.55,54.19,90.5,4.2,41.31,62.13
S2500,86.68,82.09,71.97,51.91,0.12,47.61,72.99
S2501,66.73,38.22,69.57,88.66,2.18,64.81,54.13
S2502,62.73,67.89,72.65,56.09,2.47,65.61,57.32
S2503,74.95,35.34,84.67,51.18,2.21,64.11,56.09
S2504,72.45,79.18,95.53,80.64,2.52,59.72,91.33
S2505,68.2,55.36,64.24,94.32,2.4,59.46,65.91
S2506,85.45,82.83,81.79,79.76,0.34,71.53,80.36
S2507,89.33,68.85,55.67,70.42,0.64,84.28,71.16
S2508,76.33,37.98,83.33,76.2,2.32,56.82,66.63
S2509,97.16,85.64,81.11,72.73,0.04,100.0,81.41
S2510,57.87,87.92,80.15,47.48,2.42,98.33,68.44
S2511,72.1,75.88,63.69,45.15,2.63,87.6,54.08
S2512,64.25,46.29,49.97,68.42,0.66,75.58,55.61
S2513,47.0,54.49,36.9,71.6,2.19,99.14,51.13
S2514,73.76,62.62,61.28,70.23,1.83,60.07,63.95
S2515,73.17,47.33,89.59,83.52,0.72,50.85,63.23
S2516,97.7,90.46,56.42,65.69,1.49,56.06,74.59
S2517,84.46,62.6,76.13,81.26,5.77,47.95,74.37
S2518,59.64,11.34,77.19,67.11,1.33,67.07,32.58
S2519,100.0,66.11,56.89,100.0,2.39,70.1,70.2
S2520,93.32,53.73,85.69,71.61,0.09,68.41,57.7
S2521,83.73,58.65,9.64,100.0,0.19,64.79,57.6
S2522,71.6,53.36,39.99,77.04,0.2,67.26,53.15
S2523,60.61,74.53,45.52,65.73,3.61,94.52,68.41
S2524,69.42,80.15,47.25,52.01,1.03,75.54,59.95
S2525,91.33,65.09,68.05,41.14,0.62,80.68,61.1
S2526,100.0,53.89,67.22,50.17,3.3,68.24,70.85
S2527,98.15,59.26,69.09,52.41,0.45,37.53,60.14
S2528,67.67,60.35,72.73,77.9,0.68,34.16,55.99
S2529,58.21,45.56,44.9,59.48,1.35,100.0,54.6
S2530,77.11,70.42,40.07,73.74,0.97,55.96,68.19
S2531,48.47,68.28,69.13,95.64,2.11,54.52,65.58
S2532,79.85,87.73,50.66,68.24,0.99,69.18,68.69
S2533,72.79,82.6,33.73,100.0,1.2,74.36,81.0
S2534,68.01,47.66,79.48,46.48,4.77,76.51,55.04
S2535,51.08,74.77,87.11,66.99,5.18,95.17,62.77
S2536,82.7,42.88,90.03,59.21,4.22,90.51,68.18
S2537,67.01,72.53,65.37,88.73,4.8,51.21,74.25
S2538,57.45,50.7,73.27,25.2,2.02,81.47,46.45
S2539,31.92,41.58,86.66,41.14,2.49,58.47,57.42
S2540,74.59,65.04,50.45,67.85,1.95,62.66,50.53
S2541,100.0,11.86,81.99,100.0,3.7,46.4,64.53
S2542,99.92,28.48,66.96,74.52,1.92,36.22,60.87
S2543,68.14,56.81,78.45,42.97,0.28,64.46,51.82
S2544,65.97,61.48,65.35,46.06,3.98,48.75,51.9
S2545,82.03,53.35,85.33,100.0,3.43,80.77,77.82
S2546,60.02,31.57,66.02,57.58,4.12,60.22,59.89
S2547,79.53,45.28,35.29,51.14,0.51,70.25,38.26
S2548,86.49,67.04,88.13,99.55,0.76,88.25,77.88
S2549,93.4,70.47,44.94,90.22,0.84,39.75,63.68
S2550,73.5,59.71,84.56,95.48,1.7,52.68,68.31
S2551,71.94,80.82,60.38,51.0,0.34,68.08,58.96
S2552,61.83,67.15,83.17,39.5,1.17,70.31,51.32
S2553,62.6,46.55,82.43,72.66,0.48,83.76,70.21
S2554,71.6,54.95,69.74,76.7,0.74,79.74,69.64
S2555,80.51,34.75,71.15,77.29,2.94,66.65,60.41
S2556,88.7,58.05,69.61,99.56,4.63,70.16,69.04
S2557,62.95,80.02,25.75,35.32,0.06,70.63,45.62
S2558,97.39,72.34,64.13,87.19,2.0,40.01,54.21
S2559,70.93,85.24,41.91,48.07,0.09,62.34,58.77
